mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
26	26	0	0	2/4	2	1		i|PAC}{		c	v		i	i					PAC	}{	m	1	1	0, -3, 1		0	0
26	26	3/8	3/8	2/4	2	1		#viio		c	v		#viio	#vii	o						o	1	1	5, 2, -1		5	5
27	27	0	0	2/4	2	1		i		c	v		i	i							m	1	1	0, -3, 1		0	0
27	27	3/8	3/8	2/4	2	1		#viio		c	v		#viio	#vii	o						o	1	1	5, 2, -1		5	5
28	28	0	0	2/4	2	1		i		c	v		i	i							m	1	1	0, -3, 1		0	0
28	28	3/8	3/8	2/4	2	1		#viio		c	v		#viio	#vii	o						o	1	1	5, 2, -1		5	5
29	29	0	0	2/4	2	1		i		c	v		i	i							m	1	1	0, -3, 1		0	0
29	29	1/8	1/8	2/4	2	1		iv		c	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
29	29	1/4	1/4	2/4	2	1		V(64)		c	v		V(64)	V			64				M	1	1	1, 0, -3		1	1
29	29	3/8	3/8	2/4	2	1		V		c	v		V	V							M	1	1	1, 5, 2		1	1
30	30	0	0	2/4	2	1		i[i|PAC}{		c	v	i	i	i					PAC	}{	m	1	1	0, -3, 1		0	0
30	30	1/4	1/4	2/4	2	1		iv		c	v	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
30	30	3/8	3/8	2/4	2	1		V		c	v	i	V	V							M	1	1	1, 5, 2		1	1
31	31	0	0	2/4	2	1		i		c	v	i	i	i							m	1	1	0, -3, 1		0	0
31	31	1/4	1/4	2/4	2	1		iv		c	v	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
31	31	3/8	3/8	2/4	2	1		V		c	v	i	V	V							M	1	1	1, 5, 2		1	1
32	32	0	0	2/4	2	1		i		c	v	i	i	i							m	1	1	0, -3, 1		0	0
32	32	1/8	1/8	2/4	2	1		iv		c	v	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
32	32	1/4	1/4	2/4	2	1		I		c	v	i	I	I							M	1	1	0, 4, 1		0	0
32	32	3/8	3/8	2/4	2	1		iio		c	v	i	iio	ii	o						o	1	1	2, -1, -4		2	2
33	33	0	0	2/4	2	1		V/iv		c	v	i	V/iv	V				iv			M	1	1	0, 4, 1		0	0
33	33	3/8	3/8	2/4	2	1		iv		c	v	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
34	34	0	0	2/4	2	1		V7(9)/iv		c	v	i	V7(9)/iv	V		7	9	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
34	34	1/8	1/8	2/4	2	1		V(64)/iv		c	v	i	V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
34	34	1/4	1/4	2/4	2	1		V7/iv		c	v	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
34	34	3/8	3/8	2/4	2	1		iio		c	v	i	iio	ii	o						o	1	1	2, -1, -4		2	2
35	35	0	0	2/4	2	1		I		c	v	i	I	I							M	1	1	0, 4, 1		0	0
35	35	1/8	1/8	2/4	2	1		#viio		c	v	i	#viio	#vii	o						o	1	1	5, 2, -1		5	5
35	35	1/4	1/4	2/4	2	1		I]		c	v	i	I	I							M	1	1	0, 4, 1		0	0
36	36	0	0	2/4	2	1	1	}		c	v									}		1	1				
36	36	1/4	1/4	2/4	2	1	1	i.V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
37	36	0	0	2/4	2	1	2	i.V}{		c	i		V	V						}{	M	1	1	1, 5, 2		1	1
39	38	0	0	2/4	2	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
40	39	0	0	2/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
42	41	0	0	2/4	2	1		i|IAC}{		c	i		i	i					IAC	}{	m	1	1	0, -3, 1		0	0
43	42	0	0	2/4	2	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
44	43	0	0	2/4	2	1		VII		c	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
44	43	3/8	3/8	2/4	2	1		V2/III		c	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
45	44	0	0	2/4	2	1		III6		c	i		III6	III		6					M	1	1	1, -2, -3		-3	1
46	45	0	0	2/4	2	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
46	45	3/8	3/8	2/4	2	1		VIM2		c	i		VIM2	VI	M	2					MM7	1	1	1, -4, 0, -3		-4	1
47	46	0	0	2/4	2	1		iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
48	47	0	0	2/4	2	1		v		c	i		v	v							m	1	1	1, -2, 2		1	1
48	47	3/8	3/8	2/4	2	1		v2		c	i		v2	v		2					mm7	1	1	-1, 1, -2, 2		1	-1
49	48	0	0	2/4	2	1		iv.V6		c	iv		V6	V		6					M	1	1	5, 2, 1		1	5
50	49	0	0	2/4	2	1		i		c	iv		i	i							m	1	1	0, -3, 1		0	0
50	49	3/8	3/8	2/4	2	1		i2		c	iv		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
51	50	0	0	2/4	2	1		iv6		c	iv		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
51	50	1/8	1/8	2/4	2	1		III6	i64	c	iv		III6	III		6					M	1	1	1, -2, -3		-3	1
51	50	1/4	1/4	2/4	2	1		iio6		c	iv		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
51	50	3/8	3/8	2/4	2	1		ii%43	iv6	c	iv		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
52	51	0	0	2/4	2	1		V|HC}{		c	iv		V	V					HC	}{	M	1	1	1, 5, 2		1	1
52	51	1/8	1/8	2/4	2	1		V6		c	iv		V6	V		6					M	1	1	5, 2, 1		1	5
52	51	1/4	1/4	2/4	2	1		i		c	iv		i	i							m	1	1	0, -3, 1		0	0
52	51	3/8	3/8	2/4	2	1		i6		c	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3
53	52	0	0	2/4	2	1		iv		c	iv		iv	iv							m	1	1	-1, -4, 0		-1	-1
53	52	1/8	1/8	2/4	2	1		iv6		c	iv		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
53	52	1/4	1/4	2/4	2	1		VII		c	iv		VII	VII							M	1	1	-2, 2, -1		-2	-2
53	52	3/8	3/8	2/4	2	1		VII6		c	iv		VII6	VII		6					M	1	1	2, -1, -2		-2	2
54	53	0	0	2/4	2	1		III		c	iv		III	III							M	1	1	-3, 1, -2		-3	-3
54	53	1/8	1/8	2/4	2	1		III6		c	iv		III6	III		6					M	1	1	1, -2, -3		-3	1
54	53	1/4	1/4	2/4	2	1		VI		c	iv		VI	VI							M	1	1	-4, 0, -3		-4	-4
54	53	3/8	3/8	2/4	2	1		VI6		c	iv		VI6	VI		6					M	1	1	0, -3, -4		-4	0
55	54	0	0	2/4	2	1		iio		c	iv		iio	ii	o						o	1	1	2, -1, -4		2	2
55	54	1/8	1/8	2/4	2	1		iio6		c	iv		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
55	54	1/4	1/4	2/4	2	1		V		c	iv		V	V							M	1	1	1, 5, 2		1	1
55	54	3/8	3/8	2/4	2	1		V6		c	iv		V6	V		6					M	1	1	5, 2, 1		1	5
56	55	0	0	2/4	2	1		i		c	iv		i	i							m	1	1	0, -3, 1		0	0
56	55	1/8	1/8	2/4	2	1		i.i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
56	55	1/4	1/4	2/4	2	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
56	55	3/8	3/8	2/4	2	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
57	56	0	0	2/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
57	56	1/8	1/8	2/4	2	1		v6		c	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
57	56	1/4	1/4	2/4	2	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
58	57	0	0	2/4	2	1		V|HC}{		c	i		V	V					HC	}{	M	1	1	1, 5, 2		1	1
58	57	1/8	1/8	2/4	2	1		V6		c	i		V6	V		6					M	1	1	5, 2, 1		1	5
58	57	1/4	1/4	2/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
58	57	3/8	3/8	2/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
59	58	0	0	2/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
59	58	1/8	1/8	2/4	2	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
59	58	1/4	1/4	2/4	2	1		VII		c	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
59	58	3/8	3/8	2/4	2	1		VII6		c	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
60	59	0	0	2/4	2	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
60	59	1/8	1/8	2/4	2	1		III6		c	i		III6	III		6					M	1	1	1, -2, -3		-3	1
60	59	1/4	1/4	2/4	2	1		VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
60	59	3/8	3/8	2/4	2	1		VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
61	60	0	0	2/4	2	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
61	60	1/8	1/8	2/4	2	1		iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
61	60	1/4	1/4	2/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
61	60	3/8	3/8	2/4	2	1		V6		c	i		V6	V		6					M	1	1	5, 2, 1		1	5
62	61	0	0	2/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
62	61	1/8	1/8	2/4	2	1		v6		c	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
62	61	1/4	1/4	2/4	2	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
62	61	3/8	3/8	2/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
63	62	0	0	2/4	2	1		V|HC}{		c	i		V	V					HC	}{	M	1	1	1, 5, 2		1	1
63	62	1/8	1/8	2/4	2	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
63	62	1/4	1/4	2/4	2	1		#viio2		c	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
63	62	3/8	3/8	2/4	2	1		i64		c	i		i64	i		64					m	1	1	1, 0, -3		0	1
64	63	0	0	2/4	2	1		iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
64	63	1/8	1/8	2/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
64	63	1/4	1/4	2/4	2	1		#viio6		c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
64	63	3/8	3/8	2/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
65	64	0	0	2/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
65	64	1/8	1/8	2/4	2	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
65	64	1/4	1/4	2/4	2	1		#viio2		c	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
65	64	3/8	3/8	2/4	2	1		i64		c	i		i64	i		64					m	1	1	1, 0, -3		0	1
66	65	0	0	2/4	2	1		iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
66	65	1/8	1/8	2/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
66	65	1/4	1/4	2/4	2	1		#viio6		c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
66	65	3/8	3/8	2/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
67	66	0	0	2/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
67	66	1/8	1/8	2/4	2	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
67	66	1/4	1/4	2/4	2	1		#viio2		c	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
67	66	3/8	3/8	2/4	2	1		i64		c	i		i64	i		64					m	1	1	1, 0, -3		0	1
68	67	0	0	2/4	2	1		iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
68	67	1/8	1/8	2/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
68	67	1/4	1/4	2/4	2	1		#viio6		c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
68	67	3/8	3/8	2/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
69	68	0	0	2/4	2	1		V65		c	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
69	68	1/8	1/8	2/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
69	68	1/4	1/4	2/4	2	1		iv7		c	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
69	68	3/8	3/8	2/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
70	69	0	0	2/4	2	1		i|PAC}{		c	i		i	i					PAC	}{	m	1	1	0, -3, 1		0	0
70	69	1/8	1/8	2/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
70	69	1/4	1/4	2/4	2	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
70	69	3/8	3/8	2/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
71	70	0	0	2/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
71	70	1/8	1/8	2/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
71	70	1/4	1/4	2/4	2	1		V(64)		c	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
71	70	3/8	3/8	2/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
72	71	0	0	2/4	2	1		i[i|PAC}{		c	i	i	i	i					PAC	}{	m	1	1	0, -3, 1		0	0
72	71	1/4	1/4	2/4	2	1		iv		c	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
72	71	3/8	3/8	2/4	2	1		V		c	i	i	V	V							M	1	1	1, 5, 2		1	1
73	72	0	0	2/4	2	1		i		c	i	i	i	i							m	1	1	0, -3, 1		0	0
73	72	1/4	1/4	2/4	2	1		iv		c	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
73	72	3/8	3/8	2/4	2	1		V		c	i	i	V	V							M	1	1	1, 5, 2		1	1
74	73	0	0	2/4	2	1		i		c	i	i	i	i							m	1	1	0, -3, 1		0	0
74	73	1/8	1/8	2/4	2	1		i(64)		c	i	i	i(64)	i			64				m	1	1	0, -1, -4		0	0
74	73	1/4	1/4	2/4	2	1		I		c	i	i	I	I							M	1	1	0, 4, 1		0	0
74	73	3/8	3/8	2/4	2	1		iio		c	i	i	iio	ii	o						o	1	1	2, -1, -4		2	2
75	74	0	0	2/4	2	1		V/iv		c	i	i	V/iv	V				iv			M	1	1	0, 4, 1		0	0
75	74	3/8	3/8	2/4	2	1		iv		c	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
76	75	0	0	2/4	2	1		V7(9)/iv		c	i	i	V7(9)/iv	V		7	9	iv			Mm7	1	1	0, 4, 1, -2	-5	0	0
76	75	1/8	1/8	2/4	2	1		V(64)/iv		c	i	i	V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
76	75	1/4	1/4	2/4	2	1		V7/iv		c	i	i	V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
76	75	3/8	3/8	2/4	2	1		iio		c	i	i	iio	ii	o						o	1	1	2, -1, -4		2	2
77	76	0	0	2/4	2	1		I		c	i	i	I	I							M	1	1	0, 4, 1		0	0
77	76	3/8	3/8	2/4	2	1		V		c	i	i	V	V							M	1	1	1, 5, 2		1	1
78	77	0	0	2/4	2	1		I		c	i	i	I	I							M	1	1	0, 4, 1		0	0
78	77	3/8	3/8	2/4	2	1		V		c	i	i	V	V							M	1	1	1, 5, 2		1	1
79	78	0	0	2/4	2	1		I]}		c	i	i	I	I						}	M	1	1	0, 4, 1		0	0
